Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),
HeartFlow,https://www.crunchbase.com/organization/heartflow,"Health Diagnostics, Medical",6,240000000,Series E,240000000,Series E,466646417,476646417,2018
Allogene Therapeutics,https://www.crunchbase.com/organization/allogene-therapeutics,"Health Diagnostics, Pharmaceutical",1,411770409,Series A,411770409,Series A,411770409,411770409,2018
Helix,https://www.crunchbase.com/organization/helix,"Big Data, Genetics, Health Care, Personal Health, Wellness",2,200000000,Series B,200000000,Series B,320000000,320000000,2018
Twist Bioscience,https://www.crunchbase.com/organization/twist-biosciences,"Chemical, Health Care",8,50000000,Venture - Series Unknown,50000000,Venture - Series Unknown,243110714,253110714,2018
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,"Genetics, Health Care, Medical",5,75000000,Debt Financing,50000000,Series D,163000000,238000000,2018
PROCEPT BioRobotics,https://www.crunchbase.com/organization/procept-biorobotics,"Medical Device, Robotics",6,118000000,Private Equity,118000000,Private Equity,166000000,200667625,2018
SutroVax,https://www.crunchbase.com/organization/sutrovax,"Biopharma, Health Care",4,85000000,Series C,85000000,Series C,171000000,171000000,2018
Relievant Medsystems,https://www.crunchbase.com/organization/relievant-medsystems,"Health Care, Medical",7,58000000,Series E,58000000,Series E,149050000,153550000,2018
IDEAYA Biosciences,https://www.crunchbase.com/organization/ideaya-biosciences,"App Discovery, Health Care",2,94000000,Series B,94000000,Series B,140000000,140000000,2018
Rani Therapeutics,https://www.crunchbase.com/organization/rani-therapeutics,"Pharmaceutical, Therapeutics",6,53000000,Venture - Series Unknown,53000000,Venture - Series Unknown,107486363,107486363,2018
DNAnexus,https://www.crunchbase.com/organization/dnanexus,"Bioinformatics, Cloud Computing, Genetics, Medical",5,58000000,Series E,58000000,Series E,104550000,104550000,2018
Cortexyme,https://www.crunchbase.com/organization/cortexyme,"Medical, Pharmaceutical",5,76000000,Series B,76000000,Series B,92000000,100000000,2018
AEGEA Medical,https://www.crunchbase.com/organization/aegea-medical,"Manufacturing, Medical Device",5,40000000,Series D,40000000,Series D,91496498,97497098,2018
BioClin Therapeutics,https://www.crunchbase.com/organization/bioclin-therapeutics,"Developer Platform, Medical",5,20000000,Series B,20000000,Series B,89000000,89000000,2018
Genapsys Inc.,https://www.crunchbase.com/organization/genapsys,"Genetics, Health Diagnostics",6,32500000,Series C,32500000,Series C,78500000,84000000,2018
Eureka Therapeutics,https://www.crunchbase.com/organization/eureka-therapeutics,"Life Science, Therapeutics",5,60000000,Series D,60000000,Series D,83901450,83901450,2018
Unchained Labs,https://www.crunchbase.com/organization/unchained-labs,"Medical Device, Product Research",4,17000000,Series D,17000000,Series D,80000000,80000000,2018
eNeura Therapeutics,https://www.crunchbase.com/organization/eneura-therapeutics,"Health Care, Medical",14,17000000,Series D,17000000,Series D,53668445,70474945,2018
Tempest Therapeutics,https://www.crunchbase.com/organization/tempest-therapeutics,"Health Care, Therapeutics",1,70000000,Series B,70000000,Series B,70000000,70000000,2018
Kodiak Sciences,https://www.crunchbase.com/organization/kodiak-sciences,"Health Care, Therapeutics",3,33000000,Convertible Note,34000000,Series B,35830000,68830000,2018
Dreem,https://www.crunchbase.com/organization/rythm,"Consumer Electronics, Hardware, Health Care, Internet of Things, Neuroscience, Wearables",3,35000000,Venture - Series Unknown,35000000,Venture - Series Unknown,57000000,57000000,2018
Vium,https://www.crunchbase.com/organization/mousera,"Life Science, Medical Device",4,24000000,Series B,24000000,Series B,53940004,53940004,2018
Senti Biosciences,https://www.crunchbase.com/organization/senti-biosciences,"Health Care, Medical",1,53000000,Series A,53000000,Series A,53000000,53000000,2018
DiaCarta,https://www.crunchbase.com/organization/diacarta,Genetics,2,45000000,Series B,45000000,Series B,53000000,53000000,2018
Datavant,https://www.crunchbase.com/organization/datavant,"Analytics, Big Data, Biopharma, Clinical Trials, Data Integration, Health Care",1,40500000,Undisclosed,40500000,Undisclosed,40500000,40500000,2018
ViewPoint Therapeutics,https://www.crunchbase.com/organization/viewpoint-therapeutics,"Medical, Therapeutics",2,35000000,Series B,35000000,Series B,39000000,39000000,2018
Attenua,https://www.crunchbase.com/organization/attenua,Pharmaceutical,1,35000000,Series A,35000000,Series A,35000000,35000000,2018
Fabric Genomics (formerly Omicia),https://www.crunchbase.com/organization/omicia,"Big Data, Bioinformatics, Genetics, Health Care",3,,Series C,,Series C,29800000,29800000,2018
Mindstrong Health,https://www.crunchbase.com/organization/mindstrong-health,"Biopharma, Health Care",2,15000000,Series B,15000000,Series B,29000000,29000000,2018
Carmot Therapeutics,https://www.crunchbase.com/organization/carmot-therapeutics,"Health Care, Therapeutics",4,15000000,Series B,15000000,Series B,27846101,27846101,2018
Benchling,https://www.crunchbase.com/organization/benchling,"Health Care, Life Science",4,14500000,Series B,14500000,Series B,27400000,27400000,2018
Neurotrack,https://www.crunchbase.com/organization/neurotrack-technologies,"Health Care, Health Diagnostics, Information Technology",6,13700000,Series B,13700000,Series B,25290000,26090000,2018
"Paradromics, Inc.",https://www.crunchbase.com/organization/paradromics,Health Care,3,7000000,Seed,7000000,Seed,7000000,25300000,2018
Refuge Biotechnologies,https://www.crunchbase.com/organization/refuge-biotechnologies,"Genetics, Health Care, Therapeutics",1,25000000,Series B,25000000,Series B,25000000,25000000,2018
Omniox,https://www.crunchbase.com/organization/omniox,"Health Diagnostics, Therapeutics",5,,Series D,,Series D,14312524,20112524,2018
Lyncean Technologies,https://www.crunchbase.com/organization/lyncean-technologies,"Advanced Materials, Health Care, Industrial Manufacturing, Life Science, Nanotechnology, Semiconductor, Therapeutics",6,13750000,Series B,13750000,Series B,18585749,19755749,2018
Mercator MedSystems,https://www.crunchbase.com/organization/mercator-medsystems,"Health Care, Medical, Medical Device",3,11000000,Series D,11000000,Series D,19750000,19750000,2018
Rain Therapeutics,https://www.crunchbase.com/organization/rain-therapeutics,"Health Care, Therapeutics",2,18400000,Series A,18400000,Series A,18400000,19400000,2018
Bolt Biotherapeutics,https://www.crunchbase.com/organization/bolt-biotherapeutics,"Medical, Pharmaceutical",3,6000000,Venture - Series Unknown,6000000,Venture - Series Unknown,16599998,16599998,2018
