Organization/Person Name,Organization/Person Name URL,Categories,Number of Investors,Number of Funding Rounds,Funding Status,Last Funding Amount ($),Last Funding Type,Total Funding Amount ($),Total Equity Funding Amount ($)
Intarcia Therapeutics,https://www.crunchbase.com/organization/intarcia-therapeutics,"Health Care, Information Technology and Software",25,20,Late Stage Venture,200000000,Series E,1610405937,1424614583
Theranos,https://www.crunchbase.com/organization/theranos,"Consumer, Health Care, Health Diagnostics",17,10,Private Equity,100000000,Debt Financing,1368500318,686300000
Guardant Health,https://www.crunchbase.com/organization/guardant-health,"Health Care, Health Diagnostics",19,6,Late Stage Venture,360000000,Series E,550000000,550000000
Stemcentrx,https://www.crunchbase.com/organization/stem-centrx,"Health Diagnostics, Therapeutics",8,4,M&A,250000000,Series G,515526990,515526990
"Auris Health, Inc.",https://www.crunchbase.com/organization/auris-surgical-robotics,"Medical, Information Technology and Software, Robotics",9,5,Late Stage Venture,280210782,Series D,513296837,513171837
23andMe,https://www.crunchbase.com/organization/23andme,"Consumer, Genetics",23,11,Late Stage Venture,,Secondary Market,486073609,482973609
HeartFlow,https://www.crunchbase.com/organization/heartflow,"Health Diagnostics, Medical",5,6,Late Stage Venture,240000000,Series E,476646417,466646417
Proteus Digital Health,https://www.crunchbase.com/organization/proteus-biomedical,"Health Care, Information Technology and Software, Information Technology and Software",15,13,Private Equity,40000000,Private Equity,422275979,390675979
Allogene Therapeutics,https://www.crunchbase.com/organization/allogene-therapeutics,"Health Diagnostics, Pharmaceutical",5,1,Early Stage Venture,411770409,Series A,411770409,411770409
Helix,https://www.crunchbase.com/organization/helix,"Big Data, Genetics, Health Care, Personal Health, Wellness",8,2,Early Stage Venture,200000000,Series B,320000000,320000000
CardioDx,https://www.crunchbase.com/organization/cardiodx,"Genetics, Health Diagnostics, Pharmaceutical",25,11,,22500000,Venture - Series Unknown,305261831,305261831
NGM Biopharmaceuticals,https://www.crunchbase.com/organization/ngm-biopharmaceuticals,"Biopharma, Genetics, Medical",8,5,Late Stage Venture,105999996,Series E,295438996,295438996
Twist Bioscience,https://www.crunchbase.com/organization/twist-biosciences,"Chemical, Health Care",25,8,,50000000,Venture - Series Unknown,253110714,243110714
Pearl Therapeutics,https://www.crunchbase.com/organization/pearl-therapeutics,"Health Care, Medical",5,7,M&A,41726900,Venture - Series Unknown,247500100,247500100
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,"Genetics, Health Care, Medical",9,5,Late Stage Venture,75000000,Debt Financing,238000000,163000000
Counsyl,https://www.crunchbase.com/organization/counsyl,"Genetics, Health Diagnostics",10,9,M&A,80000000,Venture - Series Unknown,237795000,237795000
PaxVax,https://www.crunchbase.com/organization/paxvax,"Medical, Pharmaceutical",5,8,Private Equity,105000000,Private Equity,234606472,141000000
Singulex,https://www.crunchbase.com/organization/singulex,"Life Science, Medical",11,9,,50000000,Debt Financing,227336875,137336875
Bolt Threads,https://www.crunchbase.com/organization/bolt-threads,"Fashion, Manufacturing",15,4,Late Stage Venture,123000000,Series D,212999999,212999999
PROCEPT BioRobotics,https://www.crunchbase.com/organization/procept-biorobotics,"Information Technology and Software, Robotics",4,6,Private Equity,118000000,Private Equity,200667625,166000000
Intrapace,https://www.crunchbase.com/organization/intrapace,"Health Care, Health Diagnostics",10,7,,3337222,Venture - Series Unknown,192922827,192298787
AOptix Technologies,https://www.crunchbase.com/organization/aoptix-technologies,"Biometrics, Security, Telecommunications, Wireless",10,10,Late Stage Venture,19977849,Series F,188722849,188722849
Neotract,https://www.crunchbase.com/organization/neotract,"Health Care, Medical, Information Technology and Software",5,6,M&A,12816967,Venture - Series Unknown,175781811,175781811
diaDexus,https://www.crunchbase.com/organization/diadexus,"Clinical Trials, Health Diagnostics",9,5,M&A,15000000,Post-IPO Debt,171200000,151700000
SutroVax,https://www.crunchbase.com/organization/sutrovax,"Biopharma, Health Care",9,4,Late Stage Venture,85000000,Series C,171000000,171000000
EBR Systems,https://www.crunchbase.com/organization/ebr-systems,"Medical, Information Technology and Software",11,8,,50000000,Venture - Series Unknown,169857026,169857026
Codiak Biosciences,https://www.crunchbase.com/organization/codiak-biosciences,"Medical, Therapeutics",11,3,Late Stage Venture,76500000,Series C,168500000,168500000
Crescendo Bioscience,https://www.crunchbase.com/organization/crescendo-bioscience,"Health Care, Medical",5,6,M&A,28000000,Series D,166682003,141682003
Perlegen Sciences,https://www.crunchbase.com/organization/perlegen-sciences,"Genetics, Health Care, Pharmaceutical",17,3,Late Stage Venture,50000000,Series D,154000000,154000000
Relievant Medsystems,https://www.crunchbase.com/organization/relievant-medsystems,"Health Care, Medical",10,7,Late Stage Venture,58000000,Series E,153550000,149050000
Aerovance,https://www.crunchbase.com/organization/aerovance,"Medical, Pharmaceutical",10,6,,500000,Venture - Series Unknown,152500000,130500000
Vir Biotechnology,https://www.crunchbase.com/organization/vir-biotechnology,"Biopharma, Health Care, Medical",4,1,,150000000,Venture - Series Unknown,150000000,150000000
SFJ Pharmaceuticals,https://www.crunchbase.com/organization/sfj-pharmaceuticals,"Health Care, Pharmaceutical",2,6,,30000000,Venture - Series Unknown,144500000,144500000
Moximed,https://www.crunchbase.com/organization/moximed,"Health Care, Information Technology and Software",8,5,Late Stage Venture,50000000,Series C,143224838,143224838
True North Therapeutics,https://www.crunchbase.com/organization/true-north-therapeutics,"Clinical Trials, Health Care",12,4,M&A,45000000,Series D,142000000,142000000
NeuroPace,https://www.crunchbase.com/organization/neuropace,"Health Care, Neuroscience",7,4,,74000000,Venture - Series Unknown,141000000,141000000
IDEAYA Biosciences,https://www.crunchbase.com/organization/ideaya-biosciences,"Information Technology and Software, Health Care",16,2,Early Stage Venture,94000000,Series B,140000000,140000000
FLX Bio,https://www.crunchbase.com/organization/flx-bio,"Medical, Pharmaceutical, Therapeutics",5,3,Late Stage Venture,60000000,Series C,139000000,139000000
Alvine Pharmaceuticals,https://www.crunchbase.com/organization/alvine-pharmaceuticals,"Pharmaceutical, Therapeutics",7,6,,70000000,Venture - Series Unknown,138012000,126000000
Pelikan Technologies,https://www.crunchbase.com/organization/pelikan-technologies,"Health Care, Information Technology and Software",6,5,,25000000,Venture - Series Unknown,137200000,137200000
CardioKinetix,https://www.crunchbase.com/organization/cardiokinetix,"Health Care, Information Technology and Software",11,6,Late Stage Venture,,Series F,135500000,135500000
BridgeBio,https://www.crunchbase.com/organization/bridgebio,"Life Science, Medical",7,1,Late Stage Venture,135000000,Series C,135000000,135000000
Allakos,https://www.crunchbase.com/organization/allakos,"Health Care, Therapeutics",11,3,Early Stage Venture,100000000,Series B,134500000,134500000
OptiScan Biomedical,https://www.crunchbase.com/organization/optiscan-biomedical,"Health Care, Medical",11,5,Private Equity,29471095,Private Equity,130227852,130227852
MyoScience,https://www.crunchbase.com/organization/myoscience,"Pharmaceutical, Therapeutics",7,6,,14000043,Venture - Series Unknown,124600043,124600043
3-V Biosciences,https://www.crunchbase.com/organization/3-v-biosciences,"Biopharma, Therapeutics",5,7,,5437612,Venture - Series Unknown,119636612,119636612
E-scape Bio,https://www.crunchbase.com/organization/e-scape-bio,"Health Care, Medical",6,2,Early Stage Venture,63000000,Series A,118002700,118002700
Cleave Biosciences,https://www.crunchbase.com/organization/cleave-biosciences,"Biopharma, Health Care",10,4,,25950003,Venture - Series Unknown,116950003,116950003
Sutro Biopharma,https://www.crunchbase.com/organization/sutro-biopharma,"Information Technology, Medical",8,7,Late Stage Venture,26000000,Series D,116305000,116305000
Hana Biosciences,https://www.crunchbase.com/organization/hana-biosciences,"Health Care, Medical",2,2,Private Equity,100000000,Private Equity,116267844,116267844
Color ,https://www.crunchbase.com/organization/color-genomics,"Genetics, Machine Learning, Product Design",25,4,Late Stage Venture,52000000,Series C,112000000,112000000
Sorbent Therapeutics,https://www.crunchbase.com/organization/sorbent-therapeutics,"Biopharma, Pharmaceutical",5,7,Late Stage Venture,6500000,Series D,110089217,104089217
Cellerant Therapeutics,https://www.crunchbase.com/organization/cellerant-therapeutics,"Clinical Trials, Therapeutics",7,12,,1500000,Grant,109769927,39054927
CoMentis,https://www.crunchbase.com/organization/comentis,"Health Care, Medical",14,5,Late Stage Venture,4500000,Series E,107500000,107500000
Rani Therapeutics,https://www.crunchbase.com/organization/rani-therapeutics,"Pharmaceutical, Therapeutics",17,6,,53000000,Venture - Series Unknown,107486363,107486363
MicuRx Pharmaceuticals,https://www.crunchbase.com/organization/micurx-pharmaceuticals,"Health Care, Medical",7,4,Late Stage Venture,"CN¥100,000,000",Series D,105106196,105106196
DNAnexus,https://www.crunchbase.com/organization/dnanexus,"Bioinformatics, Cloud Computing, Genetics, Medical",13,5,Late Stage Venture,58000000,Series E,104550000,104550000
Archemix,https://www.crunchbase.com/organization/archemix,"Health Care, Pharmaceutical",10,2,Early Stage Venture,50000000,Series B,101750000,101750000
Presidio Pharmaceuticals,https://www.crunchbase.com/organization/presidio,"Medical, Pharmaceutical",7,7,M&A,21827981,Series D,100183473,97183423
Cortexyme,https://www.crunchbase.com/organization/cortexyme,"Medical, Pharmaceutical",12,5,Early Stage Venture,76000000,Series B,100000000,92000000
Pulmonx,https://www.crunchbase.com/organization/pulmonx,"Health Care, Information Technology and Software",8,7,Private Equity,20000000,Debt Financing,98925000,71915000
Drug Abuse Sciences,https://www.crunchbase.com/organization/drug-abuse-sciences,"Health Care, Medical",13,7,,,Venture - Series Unknown,98054978,97104978
SARcode Bioscience,https://www.crunchbase.com/organization/sarcode-corporation,"Health Care, Health Diagnostics",4,3,M&A,44000000,Series B,98000000,98000000
Atreca,https://www.crunchbase.com/organization/atreca,"Health Care, Therapeutics",6,5,Early Stage Venture,35000000,Series B,97860000,97000000
AEGEA Medical,https://www.crunchbase.com/organization/aegea-medical,"Manufacturing, Information Technology and Software",8,5,Late Stage Venture,40000000,Series D,97497098,91496498
Oraya Therapeutics,https://www.crunchbase.com/organization/oraya-therapeutics,"Health Care, Information Technology and Software",4,7,Late Stage Venture,215000,Grant,97347081,94132051
NextWave Pharmaceuticals,https://www.crunchbase.com/organization/nextwave-pharmaceuticals,"Health Care, Pharmaceutical",7,4,M&A,1819000,Venture - Series Unknown,96819000,96819000
Ceterix Orthopaedics,https://www.crunchbase.com/organization/ceterix-orthopaedics,"Health Care, Information Technology and Software",4,4,,23000000,Venture - Series Unknown,95000000,60000000
Solstice Neurosciences,https://www.crunchbase.com/organization/solstice-neurosciences,"Manufacturing, Marketing",5,2,M&A,85000000,Series B,93000000,93000000
Edison Pharmaceuticals,https://www.crunchbase.com/organization/edison-pharmaceuticals,"Health Care, Medical",3,8,Private Equity,50000135,Private Equity,90578582,90578582
Principia BioPharma,https://www.crunchbase.com/organization/principia-biopharma,"Biopharma, Life Science",6,4,,15285151,Venture - Series Unknown,89901817,89901817
