Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Mayo Clinic,https://www.crunchbase.com/organization/mayoclinic,"Biotechnology, Health Care, Medical, Non Profit","Rochester, Minnesota, United States",MayoClinic a nonprofit medical practice and medical research group,,(480) 301-8000,https://www.mayoclinic.org,For Profit,3,,"$142,000,000 ",5/26/16,Grant,"$160,100,000 ","Biotechnology, Health Care, Science and Engineering",Private
Purdue Pharma,https://www.crunchbase.com/organization/purdue-pharma,"Biotechnology, Health Care","Stamford, Connecticut, United States","Purdue Pharma L.P., a pharmaceutical company committed to improving patients' lives and serving the healthcare community.",partnering1@pharma.com,2035886337,http://www.purduepharma.com,For Profit,1,,"$1,800,000 ",5/29/18,Grant,"$1,800,000 ","Biotechnology, Health Care, Science and Engineering",Private
Kaiser Permanente,https://www.crunchbase.com/organization/kaiser-permanente,"Biotechnology, Health Care, Health Diagnostics","Oakland, California, United States",Kaiser Permanente is committed to helping shape the future of health care recognized as one of America's leading health care provider.,share@kp.org,510-271-5953,http://www.kaiserpermanente.org,For Profit,1,,"$7,400,000 ",8/5/14,Grant,"$7,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
Crinetics Pharmaceuticals,https://www.crunchbase.com/organization/crinetics-pharmaceuticals,"Biotechnology, Pharmaceutical, Therapeutics","San Diego, California, United States",Discovers and develops novel therapeutics targeting peptide hormone receptors for the treatment of endocrine-related diseases and cancers.,,(760) 274-6963,http://www.crinetics.com/,For Profit,4,Early Stage Venture,"$3,200,000 ",6/21/18,Grant,"$108,200,000 ","Biotechnology, Health Care, Science and Engineering",Private
Bicycle Therapeutics,https://www.crunchbase.com/organization/bicycle-therapeutics,"Biotechnology, Medical Device, Therapeutics","Cambridge, Cambridgeshire, United Kingdom",Bicycle Therapeutics is a UK-based company developing a technology for the creation of new generation biotherapeutics.,rolf.guenther@bicycletherapeutics.com,44 1223 497 415,http://www.bicycletherapeutics.com,,6,Early Stage Venture,,1/4/18,Grant,"$90,027,000 ","Biotechnology, Health Care, Science and Engineering",Private
Penn Medicine,https://www.crunchbase.com/organization/penn-medicine,"Biotechnology, Education, Health Care, Medical, Training","Philadelphia, Pennsylvania, United States","Penn Medicine is the medical school of the University of Pennsylvania, providing medical research and education services.",pennmedicineweb@uphs.upenn.edu,800-789-PENN (7366),http://pennmedicine.org,For Profit,2,,"$12,000,000 ",12/22/16,Grant,"$24,000,000 ","Biotechnology, Education, Health Care, Science and Engineering",Private
Frequency Therapeutics,https://www.crunchbase.com/organization/frequency-therapeutics,"Biotechnology, Genetics, Medical","Woburn, Massachusetts, United States",Frequency Therapeutics develops small molecule drugs that activate progenitor cells within the body to restore healthy tissue.,frequencytx@macbiocom.com,866-389-1970,http://www.frequencytx.com/index.php,For Profit,2,Early Stage Venture,"$2,000,000 ",5/30/18,Grant,"$34,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
"Envisagenics, Inc.",https://www.crunchbase.com/organization/envisagenics-inc,"Bioinformatics, Biotechnology","New York, New York, United States",In silico RNA Therapeutics Discovery.,info@envisagenics.com,(516)847-5485,http://envisagenics.com/,For Profit,6,Seed,"$1,500,000 ",5/22/18,Grant,"$4,575,000 ","Biotechnology, Data and Analytics, Science and Engineering",Private
AgBiome,https://www.crunchbase.com/organization/agbiome,"Agriculture, Biotechnology, Service Industry","Raleigh, North Carolina, United States",AgBiome discovers and develops innovative biological and trait products for crop protection.,,,http://agbiome.com,For Profit,5,Early Stage Venture,,12/7/16,Grant,"$71,500,000 ","Agriculture and Farming, Biotechnology, Science and Engineering",Private
Cognition Therapeutics,https://www.crunchbase.com/organization/cognition-therapeutics,"Biotechnology, Life Science, Therapeutics","Pittsburgh, Pennsylvania, United States",Cognition Therapeutics develops new therapeutics to treat patients suffering from Alzheimer’s disease and other neurodegenerative disorders.,info@cogrx.com,(412)481-2210,http://www.cogrx.com,For Profit,16,,"$6,600,000 ",5/22/18,Grant,"$61,805,935 ","Biotechnology, Health Care, Science and Engineering",Private
Broad Institute,https://www.crunchbase.com/organization/broad-institute,"Biotechnology, Clinical Trials, Life Science","Cambridge, Massachusetts, United States",The Broad Institute brings together a diverse group of individuals from across its partner institutions to confront biomedical challenges.,,6177147000,http://www.broadinstitute.org,,2,,"$100,000,000 ",11/15/13,Grant,"$132,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
 Phase Genomics,https://www.crunchbase.com/organization/phase-genomics,Biotechnology,"Seattle, Washington, United States","Phase Genomics' mission is to help scientists make breakthrough discoveries by providing the most complete, accurate, detailed genomes.",info@phasegenomics.com,,https://phasegenomics.com/,,2,Seed,"$1,500,000 ",6/27/18,Grant,"$2,500,000 ","Biotechnology, Science and Engineering",Private
Vedanta Biosciences,https://www.crunchbase.com/organization/vedanta-biosciences,"Biotechnology, Business Development, Medical","Cambridge, Massachusetts, United States",Vedanta Biosciences is developing a class of drugs that work by modulating the human microbiome.,info@vedantabio.com,(857)706-1427,http://www.vedantabio.com,For Profit,2,,"$5,400,000 ",11/3/17,Grant,"$55,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
DNA Script,https://www.crunchbase.com/organization/dna-script,"Biotechnology, Life Science, Medical","Paris, Ile-de-France, France",DNA Script is focused on the manufacturing of synthetic DNA using a proprietary template-free enzymatic technology.,contact@dnascript.co,,http://www.dnascript.co,For Profit,4,Early Stage Venture,"$5,500,000 ",4/4/18,Grant,"$21,444,096 ","Biotechnology, Health Care, Science and Engineering",Private
"Clerio Vision, Inc.",https://www.crunchbase.com/organization/clerio-vision,"Biotechnology, Medical","Rochester, New York, United States",Perfecting the Sense of Sight.,,(617)216-7881,http://www.cleriovision.com/,For Profit,6,Late Stage Venture,"$750,000 ",9/15/17,Grant,"$14,715,027 ","Biotechnology, Health Care, Science and Engineering",Private
