Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
OWKIN,https://www.crunchbase.com/organization/owkin-2,"Artificial Intelligence, Biotechnology, Software","New York, New York, United States",Machine learning for medical research.,contact@owkin.com,,http://www.owkin.com,For Profit,3,Early Stage Venture,"$5,000,000 ",5/23/18,Series A,"$18,100,000 ","Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",Private
iCarbonX,https://www.crunchbase.com/organization/icarbonx,"Artificial Intelligence, Biotechnology, Health Care","Shenzhen, Guangdong, China",iCarbonX is a China-based artificial intelligence platform for health data company.,hr@icarbonx.com,75533605888,http://www.icarbonx.com/en/index.html,For Profit,2,Early Stage Venture,"CN¥300,000,000",7/15/16,Series A,"CN¥1,300,000,000","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Micrima,https://www.crunchbase.com/organization/micrima,"Biotechnology, Health Care, Medical Device","Bristol, Bristol, City of, United Kingdom",Micrima develops a non-invasive and a non-ionizing radio wave technology for detecting breast cancer.,info@micrima.com,+44 (0)1494 890397,http://www.micrima.com,For Profit,6,Early Stage Venture,"£4,400,000",6/19/18,Series A,"$18,807,883 ","Biotechnology, Health Care, Science and Engineering",Private
AimBrain,https://www.crunchbase.com/organization/aimbrain,"Biometrics, Biotechnology, Cyber Security, FinTech","London, England, United Kingdom","AimBrain is a BIDaaS (biometric identity as-a-service) platform providing Cloud-based biometric authentication (voice,facial & behavioural).",sales@aimbrain.com,+44 203 2867112,https://aimbrain.com/,For Profit,4,Early Stage Venture,"£4,000,000",6/19/17,Series A,"£4,365,000","Biotechnology, Data and Analytics, Financial Services, Information Technology, Privacy and Security, Science and Engineering",Private
Vi,https://www.crunchbase.com/organization/lifebeam,"Biotechnology, Fitness, Health Care","New York, New York, United States",Vi is an AI companion for your body & mind ,info@vitrainer.com,,http://www.vitrainer.com/,For Profit,5,Early Stage Venture,"$20,000,000 ",1/3/18,Series A,"$38,665,676 ","Biotechnology, Health Care, Science and Engineering, Sports",Private
Vergent Bioscience,https://www.crunchbase.com/organization/vergent-bioscience-inc,"Biotechnology, Medical, Medical Device",,Developer of targeted molecular probes for cancer surgery.,,612-928-6515,http://www.vergentbio.com,,1,Early Stage Venture,"$8,700,000 ",6/12/18,Series A,"$8,700,000 ","Biotechnology, Health Care, Science and Engineering",Private
BenchSci,https://www.crunchbase.com/organization/benchsci,"Artificial Intelligence, Biotechnology, Life Science, Machine Learning, Pharmaceutical","Toronto, Ontario, Canada",BenchSci is a reagent intelligence platform that transforms published data into experiment-specific recommendations.,simon@benchsci.com,,https://www.benchsci.com/,For Profit,4,Early Stage Venture,"CA$10,300,000",5/2/18,Series A,"CA$10,300,000","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Freenome,https://www.crunchbase.com/organization/freenome,"Biotechnology, Health Care, Health Diagnostics, Personal Health","South San Francisco, California, United States",Freenome is a platform that helps design healthy conditions for an individual based on his/her cell-free genome,press@freenome.com,,http://www.freenome.com,For Profit,3,Early Stage Venture,"$7,000,000 ",8/28/17,Series A,"$77,550,000 ","Biotechnology, Health Care, Science and Engineering",Private
NodThera,https://www.crunchbase.com/organization/nodthera,"Biotechnology, Life Science","Little Chesterford, Essex, United Kingdom",NodThera is a biotechnology company focused on the discovery and development of new treatments for diseases.,info@nodthera.com,+44 (0) 7928 555460,https://nodthera.com/,,1,Early Stage Venture,"$40,000,000 ",6/25/18,Series A,"$40,000,000 ","Biotechnology, Science and Engineering",Private
Turing Pharmaceuticals,https://www.crunchbase.com/organization/turing-pharmaceuticals,"Biopharma, Biotechnology, Medical","New York, New York, United States",Turing Pharmaceuticals is a fully integrated biopharmaceutical company focusing on patients with unmet medical needs.,info@turingpharma.com,1(646) 356-5577,http://turingpharma.com/,For Profit,1,Early Stage Venture,"$90,000,000 ",8/10/15,Series A,"$90,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
