Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Benchling,https://www.crunchbase.com/organization/benchling,"Biotechnology, Health Care, Life Science","San Francisco, California, United States",Benchling makes life science research faster and more collaborative.,hello@benchling.com,,http://benchling.com,For Profit,4,Early Stage Venture,"$14,500,000 ",6/14/18,Series B,"$27,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
Emulate,https://www.crunchbase.com/organization/emulate,"Biotechnology, Health Care, Medical","Boston, Massachusetts, United States","Emulate, Inc. is a private company focused on commercializing Organs-on-Chips.",,508-843-5324,http://emulatebio.com,,5,Late Stage Venture,"$36,000,000 ",6/18/18,Series C,"$95,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Mindstrong Health,https://www.crunchbase.com/organization/mindstrong-health,"Biopharma, Biotechnology, Health Care","Palo Alto, California, United States",Mindstrong Health is transforming the diagnosis and treatment of behavioral health disorders through the ubiquity of mobile technology,info@mindstronghealth.com,(650)947-9293,https://mindstronghealth.com/,For Profit,2,Early Stage Venture,"$15,000,000 ",6/14/18,Series B,"$29,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Sophia Genetics,https://www.crunchbase.com/organization/sophia-genetics,"Artificial Intelligence, Biotechnology, Health Care, Medical","Lausanne, Vaud, Switzerland",Sophia Genetics is a tech company that created SOPHiA AI to help healthcare professionals better diagnose and treat patients,info@sophiagenetics.com,41216941060,http://sophiagenetics.com,For Profit,3,Late Stage Venture,"$30,000,000 ",9/13/17,Series D,"$58,750,000 ","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Iora Health,https://www.crunchbase.com/organization/iora-health,"Biotechnology, Health Care, Medical","Boston, Massachusetts, United States",Iora Health is a private healthcare company help patients manage their health and navigate the healthcare system.,info@iorahealth.com,617-454-4672,http://www.iorahealth.com,,5,Late Stage Venture,"$100,000,000 ",5/21/18,Series E,"$223,250,000 ","Biotechnology, Health Care, Science and Engineering",Private
Decibel Therapeutics,https://www.crunchbase.com/organization/decibel-therapeutics,"Biotechnology, Medical Device, Therapeutics","Cambridge, Massachusetts, United States","Decibel Therapeutics is a hearing company focused on discovering and developing new medicines to protect, repair and restore hearing.",info@decibeltx.com,(617) 370-8701,http://decibeltx.com/,For Profit,2,Late Stage Venture,"$55,000,000 ",6/19/18,Series C,"$107,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
SutroVax,https://www.crunchbase.com/organization/sutrovax,"Biopharma, Biotechnology, Health Care","South San Francisco, California, United States",SutroVax is a biopharmaceutical company,info@SutroVax.com,(650) 837-0111,http://www.sutrovax.com/,For Profit,4,Late Stage Venture,"$85,000,000 ",6/7/18,Series C,"$171,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cortexyme,https://www.crunchbase.com/organization/cortexyme,"Biotechnology, Medical, Pharmaceutical","South San Francisco, California, United States",Cortexyme is developing treatments for Alzheimer's and other degenerative disorders.,,,https://www.cortexyme.com,For Profit,5,Early Stage Venture,"$76,000,000 ",5/31/18,Series B,"$100,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Ginkgo Bioworks,https://www.crunchbase.com/organization/ginkgo-bioworks,"Biotechnology, Health Care, Medical","Boston, Massachusetts, United States",Ginkgo designs custom microbes for customers across multiple markets.,info@ginkgobioworks.com,(877) 422-5362,http://ginkgobioworks.com/,For Profit,6,Late Stage Venture,"$275,000,000 ",12/14/17,Series D,"$429,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Nimbus Therapeutics,https://www.crunchbase.com/organization/nimbus-discovery,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Nimbus Discovery is now Nimbus Therapeutics to reflect our transition into a clinical stage company.,info@nimbustx.com,(857) 999-2009,http://nimbustx.com/,For Profit,5,Late Stage Venture,"$65,000,000 ",6/5/18,Series C,"$137,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Vium,https://www.crunchbase.com/organization/mousera,"Biotechnology, Life Science, Medical Device","San Mateo, California, United States","Vium, Inc. develops medical technology. The company is headquartered in the United States.",info@vium.com,(650) 988-8500,http://www.vium.com,For Profit,4,Early Stage Venture,"$24,000,000 ",6/21/18,Series B,"$53,940,004 ","Biotechnology, Health Care, Science and Engineering",Private
Evolve Biosystems,https://www.crunchbase.com/organization/evolve-biosystems,"Biotechnology, Medical, Medical Device","Davis, California, United States","Evolve BioSystems is developing the next generation of products to establish, restore, and maintain a healthy newborn gut microbiome.",info@evolvebiosystems.com,14156085316,http://evolvebiosystems.com,For Profit,3,Late Stage Venture,"$40,000,000 ",6/13/18,Series C,"$69,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Precision BioSciences,https://www.crunchbase.com/organization/precision-biosciences,"Biotechnology, Genetics, Health Care, Medical","Durham, North Carolina, United States","Precision BioSciences is a biotechnology company dedicated to improving lives through its next-generation gene editing technology, ARCUS.",partner@precisionbiosciences.com,(919) 314-5512,http://www.precisionbiosciences.com/,For Profit,3,Early Stage Venture,"$110,000,000 ",6/8/18,Series B,"$135,650,000 ","Biotechnology, Health Care, Science and Engineering",Private
